lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
13,0,0,26,12,1,0,26,0
13,0,0,26,4,3,0,26,0
13,0,0,26,10,1,0,26,0
18,25,0,4,18,24,1,4,0
13,0,0,26,4,9,0,26,0
13,0,0,26,10,3,0,26,0
24,0,22,1,24,0,19,4,0
18,19,7,3,18,19,6,4,0
18,4,24,1,18,1,25,1,0
18,19,4,2,18,19,1,5,0
9,21,24,1,9,18,25,1,0
12,1,18,8,9,4,18,8,0
3,10,24,2,0,13,24,2,0
24,1,18,4,24,0,19,4,0
0,22,25,0,0,22,24,1,0
9,4,8,18,0,13,8,18,0
18,4,20,1,18,1,23,1,0
1,12,24,2,0,13,24,2,0
10,1,18,8,1,4,18,8,0
9,19,7,2,0,22,7,2,0
1,4,24,2,1,1,25,2,0
9,4,20,6,0,13,20,6,0
10,1,2,24,1,4,2,24,0
4,3,18,8,1,4,18,8,0
6,15,19,1,6,6,22,1,0
19,0,25,1,18,1,25,1,0
6,10,24,1,6,9,25,1,0
10,3,18,8,1,12,18,8,0
12,1,6,20,9,4,6,20,0
18,4,20,3,18,1,23,3,0
12,1,2,24,3,4,2,24,0
0,16,25,0,0,16,24,1,0
1,19,5,6,1,19,2,7,0
3,10,20,6,0,13,20,6,0
10,3,2,24,9,4,2,24,0
4,9,18,8,3,10,18,8,0
12,1,18,8,3,10,18,8,0
10,1,18,8,10,0,19,8,0
1,21,7,2,0,22,7,2,0
3,19,7,2,0,22,7,2,0
12,1,18,8,12,0,19,8,0
1,15,19,2,1,6,22,2,0
4,3,6,20,3,4,6,20,0
4,3,6,20,1,4,6,20,0
18,15,19,1,18,6,22,1,0
1,10,20,6,1,1,23,6,0
3,10,8,18,0,13,8,18,0
1,4,20,6,1,1,23,6,0
18,19,5,3,18,19,2,4,0
10,3,6,20,1,12,6,20,0
9,21,7,18,9,21,6,19,0
10,0,25,2,1,3,25,2,0
4,3,18,8,4,0,19,8,0
18,10,24,1,18,9,25,1,0
3,4,24,2,3,1,25,2,0
12,1,6,20,12,0,7,20,0
10,0,25,2,9,1,25,2,0
4,3,2,24,1,4,2,24,0
10,3,6,20,10,0,7,20,0
9,21,7,6,9,21,6,7,0
4,9,18,8,4,0,21,8,0
18,4,19,2,18,1,22,2,0
9,22,0,8,9,21,1,8,0
12,1,2,24,3,10,2,24,0
1,10,24,2,1,9,25,2,0
12,1,18,8,3,4,18,8,0
18,4,5,6,18,4,2,7,0
9,4,24,2,9,1,25,2,0
3,4,20,6,3,1,23,6,0
10,1,6,20,10,0,7,20,0
10,1,2,24,1,10,2,24,0
12,1,6,20,3,10,6,20,0
1,25,0,7,1,24,1,7,0
18,19,5,1,18,19,2,4,0
18,24,4,1,18,24,1,4,0
4,9,2,24,3,10,2,24,0
3,10,24,2,3,9,25,2,0
4,3,6,24,1,4,6,24,0
3,15,19,2,0,16,19,2,0
12,1,6,20,3,4,6,20,0
10,3,18,8,10,0,21,8,0
6,19,4,2,6,19,1,5,0
18,7,21,1,18,6,22,1,0
1,22,0,20,1,19,1,20,0
1,7,21,6,1,7,18,7,0
10,1,18,20,1,4,18,20,0
9,19,19,2,0,22,19,2,0
9,19,5,6,0,22,5,6,0
12,1,2,24,9,4,2,24,0
18,7,21,1,18,7,18,4,0
10,3,18,8,10,0,19,8,0
3,21,7,2,0,22,7,2,0
18,10,19,2,18,1,22,2,0
1,4,24,2,1,3,25,2,0
3,19,5,6,0,22,5,6,0
1,15,19,2,0,16,19,2,0
4,0,23,6,4,0,20,7,0
9,4,24,2,0,13,24,2,0
1,22,0,8,1,19,1,8,0
4,9,6,20,3,10,6,20,0
10,1,18,8,1,10,18,8,0
0,22,23,0,0,22,20,1,0
4,3,18,8,4,0,21,8,0
4,3,6,20,4,0,7,20,0
3,10,20,6,3,1,23,6,0
4,3,18,8,3,4,18,8,0
7,18,1,7,6,19,1,7,0
1,24,19,1,0,25,19,1,0
18,19,4,6,18,19,1,7,0
3,25,0,7,3,24,1,7,0
19,0,22,2,18,1,22,2,0
4,0,25,2,3,1,25,2,0
18,7,4,2,18,7,1,5,0
6,10,19,2,6,1,22,2,0
4,0,23,6,3,1,23,6,0
4,9,18,8,1,10,18,8,0
4,3,18,20,3,4,18,20,0
1,15,19,6,0,16,19,6,0
6,24,4,1,6,24,1,4,0
1,10,24,6,1,9,25,6,0
10,18,1,20,9,19,1,20,0
1,21,19,2,0,22,19,2,0
18,19,4,18,18,19,1,19,0
1,21,7,6,1,21,6,7,0
3,24,19,1,0,25,19,1,0
1,12,8,18,0,13,8,18,0
19,18,1,19,18,19,1,19,0
3,7,21,6,3,7,18,7,0
1,12,20,6,0,13,20,6,0
3,7,21,6,3,6,22,6,0
1,12,20,6,1,3,23,6,0
4,9,18,20,4,0,21,20,0
9,7,19,2,0,16,19,2,0
10,1,6,20,1,10,6,20,0
19,0,22,2,19,0,19,5,0
1,7,21,18,1,6,22,18,0
1,12,24,2,1,9,25,2,0
9,19,24,1,9,18,25,1,0
3,4,20,18,3,1,23,18,0
1,7,21,6,1,6,22,6,0
9,4,20,6,9,1,23,6,0
1,21,24,1,1,18,25,1,0
21,6,1,19,18,7,1,19,0
21,0,25,1,18,1,25,1,0
19,18,1,7,18,19,1,7,0
19,1,18,19,19,0,19,19,0
12,18,1,8,3,21,1,8,0
1,19,24,1,1,18,25,1,0
4,9,2,24,1,12,2,24,0
3,7,24,1,3,6,25,1,0
1,24,4,2,0,25,4,2,0
4,9,18,8,1,12,18,8,0
9,4,24,6,9,3,25,6,0
6,19,7,3,6,19,6,4,0
19,18,1,5,18,19,1,5,0
3,19,5,18,0,22,5,18,0
1,21,19,2,1,18,22,2,0
9,19,7,18,9,19,6,19,0
10,3,18,8,9,4,18,8,0
12,0,25,2,3,3,25,2,0
4,3,2,24,3,4,2,24,0
9,25,0,19,9,24,1,19,0
3,24,4,2,0,25,4,2,0
1,24,4,2,1,24,1,5,0
10,0,25,2,1,9,25,2,0
1,10,20,18,1,1,23,18,0
4,3,18,20,1,4,18,20,0
1,21,5,6,1,21,2,7,0
3,15,19,2,3,6,22,2,0
3,19,5,6,3,19,2,7,0
6,21,19,1,6,18,22,1,0
21,1,2,21,18,4,2,21,0
12,1,18,20,3,4,18,20,0
18,7,19,3,18,7,18,4,0
3,7,11,18,3,7,2,21,0
7,18,1,19,6,19,1,19,0
1,12,24,6,1,9,25,6,0
1,4,20,18,1,1,23,18,0
4,3,6,24,4,0,7,24,0
3,19,19,2,0,22,19,2,0
10,1,6,20,1,4,6,20,0
10,18,1,8,9,19,1,8,0
4,9,2,24,1,10,2,24,0
1,15,19,6,1,6,22,6,0
1,22,0,8,1,21,1,8,0
9,4,24,18,9,3,25,18,0
1,19,5,18,1,19,2,19,0
10,0,23,6,10,0,20,7,0
3,4,24,6,3,3,25,6,0
10,1,6,24,1,4,6,24,0
3,21,7,6,3,21,6,7,0
10,18,1,20,1,21,1,20,0
7,18,18,4,6,19,18,4,0
18,4,5,18,18,4,2,19,0
24,1,3,7,24,0,4,7,0
0,22,23,0,0,22,20,3,0
24,1,1,21,24,1,0,22,0
10,3,2,24,1,12,2,24,0
1,15,19,18,1,6,22,18,0
3,25,0,19,3,24,1,19,0
1,4,24,6,1,1,25,6,0
1,19,7,18,1,19,6,19,0
1,19,19,18,1,19,18,19,0
19,3,6,7,19,0,7,7,0
10,0,25,6,9,1,25,6,0
4,9,6,20,1,12,6,20,0
4,3,2,24,4,0,5,24,0
4,9,2,24,4,0,11,24,0
1,24,4,18,0,25,4,18,0
3,4,24,2,3,3,25,2,0
12,0,25,2,9,1,25,2,0
7,18,1,5,6,19,1,5,0
7,9,18,7,6,10,18,7,0
6,25,0,4,6,24,1,4,0
15,18,1,7,6,21,1,7,0
24,1,6,4,24,0,7,4,0
7,18,1,21,6,19,1,21,0
1,10,8,18,1,1,17,18,0
1,15,19,6,1,15,18,7,0
6,19,19,3,6,19,18,4,0
12,1,6,24,3,4,6,24,0
3,21,7,18,3,21,6,19,0
18,4,19,18,18,1,22,18,0
9,22,0,20,9,19,1,20,0
1,14,0,24,1,11,1,24,0
9,19,7,18,0,22,7,18,0
1,4,24,6,1,3,25,6,0
21,6,1,7,18,7,1,7,0
3,19,5,18,3,19,2,19,0
10,18,1,8,1,21,1,8,0
1,25,0,19,1,24,1,19,0
1,22,0,24,1,19,1,24,0
4,6,1,20,1,7,1,20,0
3,24,4,6,3,24,1,7,0
4,18,2,7,1,19,2,7,0
21,3,6,7,21,0,7,7,0
21,18,1,19,18,19,1,19,0
4,0,23,18,1,1,23,18,0
1,19,19,6,1,19,18,7,0
3,22,0,20,3,19,3,20,0
19,0,22,6,19,0,19,7,0
9,4,24,2,9,3,25,2,0
10,1,18,20,10,0,19,20,0
9,19,5,6,9,19,2,7,0
3,22,0,20,3,21,1,20,0
21,0,22,2,18,1,22,2,0
24,3,1,7,24,0,4,7,0
19,0,25,3,18,1,25,3,0
15,18,1,19,6,21,1,19,0
1,7,15,18,1,7,6,21,0
4,9,6,24,1,10,6,24,0
3,15,19,6,0,16,19,6,0
18,7,21,3,18,6,22,3,0
6,19,21,1,6,18,22,1,0
3,22,0,20,3,19,1,20,0
1,19,5,18,1,19,2,21,0
7,18,3,7,6,19,3,7,0
24,1,3,19,24,0,4,19,0
3,21,19,2,0,22,19,2,0
10,1,18,20,1,10,18,20,0
12,18,1,8,9,19,1,8,0
9,21,19,6,9,21,18,7,0
9,19,8,1,0,22,8,1,0
3,10,8,18,3,1,17,18,0
10,1,6,24,10,0,7,24,0
3,24,4,6,0,25,4,6,0
4,0,23,6,1,1,23,6,0
10,0,25,6,1,9,25,6,0
4,0,17,18,1,3,17,18,0
10,0,25,18,10,0,24,19,0
9,22,0,8,9,19,3,8,0
4,0,23,6,1,3,23,6,0
21,0,25,1,18,3,25,1,0
1,23,0,7,1,20,1,7,0
1,20,4,6,1,20,1,7,0
1,11,19,6,1,2,22,6,0
4,3,18,20,4,0,21,20,0
9,4,20,18,9,1,23,18,0
12,0,25,6,12,0,24,7,0
4,9,2,24,4,0,5,24,0
4,18,3,8,1,19,3,8,0
4,0,23,18,1,3,23,18,0
12,18,6,19,9,19,6,19,0
12,6,1,20,9,7,1,20,0
10,3,18,20,10,0,19,20,0
10,0,25,6,10,0,24,7,0
12,0,25,2,3,9,25,2,0
3,19,7,18,3,19,6,19,0
4,3,6,24,3,4,6,24,0
3,4,24,18,3,1,25,18,0
1,7,24,1,1,6,25,1,0
1,7,11,18,1,7,2,21,0
1,24,4,6,1,24,1,7,0
4,18,1,8,1,19,1,8,0
1,4,24,18,1,1,25,18,0
1,21,7,18,0,22,7,18,0
19,1,18,7,19,0,19,7,0
7,9,18,19,7,0,21,19,0
24,3,18,4,24,0,19,4,0
1,15,24,1,0,16,24,1,0
19,6,18,4,18,7,18,4,0
19,6,1,7,18,7,1,7,0
9,19,5,18,0,22,5,18,0
3,19,20,3,0,22,20,3,0
7,0,25,1,6,1,25,1,0
4,0,25,18,4,0,24,19,0
7,0,22,18,7,0,19,21,0
9,19,20,1,0,22,20,1,0
7,0,22,6,7,0,19,7,0
9,19,20,3,0,22,20,3,0
3,21,24,1,0,22,24,1,0
0,25,22,0,0,25,19,1,0
1,22,0,20,1,19,3,20,0
4,0,25,6,4,0,24,7,0
18,22,0,7,18,19,1,7,0
1,19,7,6,1,19,6,7,0
3,24,7,1,0,25,7,1,0
9,25,0,7,9,24,1,7,0
6,19,4,6,6,19,3,7,0
6,19,4,18,6,19,3,19,0
18,7,21,3,18,7,18,4,0
4,0,17,18,4,0,8,21,0
3,10,24,6,3,9,25,6,0
21,1,1,8,18,4,1,8,0
9,19,24,1,0,22,24,1,0
4,9,6,20,4,0,15,20,0
10,0,23,18,9,1,23,18,0
9,19,5,18,9,19,2,19,0
21,3,6,19,21,0,7,19,0
10,1,6,24,1,10,6,24,0
12,0,25,18,12,0,24,19,0
3,16,0,20,3,15,1,20,0
4,0,26,1,3,1,26,1,0
4,18,1,8,3,19,1,8,0
19,3,1,8,18,4,1,8,0
7,0,22,2,7,0,19,5,0
1,14,0,24,1,5,3,24,0
1,21,5,18,1,21,2,19,0
10,0,23,6,9,1,23,6,0
12,18,6,19,9,21,6,19,0
12,18,18,7,9,21,18,7,0
18,4,7,18,18,4,6,19,0
1,4,24,18,1,3,25,18,0
9,4,24,6,9,1,25,6,0
12,1,6,24,12,0,7,24,0
7,18,1,21,7,18,0,22,0
4,18,3,8,1,21,3,8,0
7,18,3,19,7,18,0,22,0
6,10,19,6,6,10,18,7,0
7,9,1,24,7,0,10,24,0
1,7,24,3,1,6,25,3,0
9,19,24,3,9,18,25,3,0
9,19,5,18,9,19,2,21,0
10,2,18,7,1,11,18,7,0
9,24,19,3,9,24,18,4,0
6,19,21,1,6,19,18,4,0
7,0,22,6,6,1,22,6,0
6,7,19,3,6,7,18,4,0
7,9,18,7,7,0,21,7,0
9,7,19,6,0,16,19,6,0
7,18,3,19,6,19,3,19,0
18,10,19,6,18,10,18,7,0
1,19,21,2,1,19,18,5,0
18,7,10,18,18,7,1,21,0
19,1,3,20,19,0,4,20,0
18,7,7,3,18,7,6,4,0
18,7,4,18,18,7,3,19,0
1,16,0,24,1,7,9,24,0
21,1,2,7,18,4,2,7,0
4,6,9,20,1,7,9,20,0
3,19,20,1,0,22,20,1,0
1,21,5,6,0,22,5,6,0
21,6,18,4,18,7,18,4,0
15,18,18,4,6,21,18,4,0
1,16,0,20,1,7,3,20,0
21,1,2,19,18,4,2,19,0
12,0,25,18,9,1,25,18,0
1,22,0,8,1,19,3,8,0
1,16,0,24,1,15,1,24,0
10,6,18,7,1,15,18,7,0
1,21,7,6,0,22,7,6,0
1,25,0,21,1,24,1,21,0
9,19,19,6,0,22,19,6,0
1,22,0,24,1,19,3,24,0
21,18,1,7,18,21,1,7,0
4,0,25,6,3,1,25,6,0
4,9,6,20,1,10,6,20,0
9,22,0,24,9,19,1,24,0
4,0,23,18,4,0,20,19,0
3,4,24,6,3,1,25,6,0
18,10,19,6,18,1,22,6,0
6,19,4,18,6,19,1,19,0
3,22,0,24,3,19,1,24,0
3,21,19,6,3,21,18,7,0
19,1,6,19,19,0,7,19,0
3,21,24,1,3,18,25,1,0
19,6,1,19,18,7,1,19,0
3,21,7,18,0,22,7,18,0
1,24,7,1,0,25,7,1,0
10,18,6,19,1,21,6,19,0
19,3,6,19,19,0,7,19,0
7,1,18,7,7,0,19,7,0
4,6,18,7,3,7,18,7,0
19,0,23,1,19,0,20,4,0
21,18,1,7,18,19,1,7,0
3,19,7,18,0,22,7,18,0
3,7,19,6,3,7,18,7,0
1,7,21,18,1,7,18,19,0
1,5,21,6,1,5,18,7,0
10,3,18,20,10,0,21,20,0
9,19,19,6,9,19,18,7,0
18,4,7,6,18,4,6,7,0
19,3,2,7,19,0,5,7,0
1,21,20,3,1,18,23,3,0
3,24,4,18,0,25,4,18,0
1,5,24,3,1,2,25,3,0
1,24,4,6,0,25,4,6,0
4,18,1,20,1,21,1,20,0
1,5,15,18,1,5,6,21,0
10,6,1,24,1,15,1,24,0
4,18,1,8,1,21,1,8,0
6,10,19,6,6,1,22,6,0
1,5,21,18,1,2,22,18,0
1,21,11,18,1,21,2,21,0
15,1,1,20,6,10,1,20,0
10,3,6,24,10,0,7,24,0
9,19,7,6,9,19,6,7,0
9,19,7,6,0,22,7,6,0
19,18,6,4,18,19,6,4,0
21,0,16,18,18,1,16,18,0
1,21,21,2,1,18,22,2,0
1,7,5,18,1,7,2,19,0
9,19,21,2,9,19,18,5,0
19,9,18,7,18,10,18,7,0
21,6,1,21,18,7,1,21,0
7,18,9,19,7,18,0,22,0
10,6,1,20,9,7,1,20,0
24,0,22,3,24,0,19,4,0
24,0,22,3,24,0,21,4,0
10,3,6,20,9,4,6,20,0
19,6,3,7,18,7,3,7,0
9,7,21,6,9,6,22,6,0
12,6,1,20,3,15,1,20,0
1,16,0,20,1,15,1,20,0
1,19,21,2,1,18,22,2,0
18,4,21,2,18,1,22,2,0
18,4,5,18,18,4,2,21,0
10,0,23,18,10,0,20,21,0
1,5,21,6,1,2,22,6,0
15,1,18,19,15,0,19,19,0
15,1,18,7,15,0,19,7,0
19,3,2,19,18,4,2,19,0
19,3,3,8,19,0,4,8,0
12,6,1,24,9,7,1,24,0
1,21,20,3,0,22,20,3,0
9,7,21,18,9,7,18,19,0
18,24,4,3,18,24,1,4,0
19,6,1,21,18,7,1,21,0
9,7,7,18,0,16,7,18,0
10,18,3,8,1,21,3,8,0
25,0,0,22,24,1,0,22,0
7,6,18,4,6,7,18,4,0
7,0,22,18,7,0,21,19,0
4,6,2,21,1,7,2,21,0
4,18,3,20,1,21,3,20,0
7,0,22,6,7,0,21,7,0
7,1,6,21,7,0,7,21,0
4,18,2,21,3,19,2,21,0
7,0,16,18,7,0,7,21,0
7,0,25,3,6,1,25,3,0
1,24,4,18,1,24,3,19,0
4,18,2,21,1,21,2,21,0
1,24,10,18,1,24,1,21,0
1,24,19,3,0,25,19,3,0
6,19,10,18,6,19,1,21,0
1,21,7,18,1,21,6,19,0
3,4,24,18,3,3,25,18,0
1,7,15,18,1,6,16,18,0
1,22,0,20,1,21,1,20,0
3,19,5,18,3,19,2,21,0
