,lin1,lin2,lin3,lin4,lin5,lin6,lin7,lin8,win
0,13,0,0,26,12,1,0,26,-29.17142857142857
1,13,0,0,26,4,3,0,26,-26.896428571428604
2,13,0,0,26,10,1,0,26,-24.59166666666668
3,18,25,0,4,18,24,1,4,-16.0
4,13,0,0,26,4,9,0,26,-14.62857142857143
5,13,0,0,26,10,3,0,26,-14.470238095238091
6,24,0,22,1,24,0,19,4,-8.875
7,18,19,7,3,18,19,6,4,-8.625
8,18,4,24,1,18,1,25,1,-7.8333333333333375
9,18,19,4,2,18,19,1,5,-7.0
10,9,21,24,1,9,18,25,1,-6.400000000000002
11,12,1,18,8,9,4,18,8,-6.116666666666667
12,3,10,24,2,0,13,24,2,-5.666666666666665
13,24,1,18,4,24,0,19,4,-5.625
14,0,22,25,0,0,22,24,1,-5.333333333333334
15,9,4,8,18,0,13,8,18,-5.333333333333332
16,18,4,20,1,18,1,23,1,-5.25
17,1,12,24,2,0,13,24,2,-4.999999999999999
18,10,1,18,8,1,4,18,8,-4.648809523809524
19,9,19,7,2,0,22,7,2,-4.0
20,1,4,24,2,1,1,25,2,-4.0
21,9,4,20,6,0,13,20,6,-4.0
22,10,1,2,24,1,4,2,24,-3.875
23,4,3,18,8,1,4,18,8,-3.75
24,6,15,19,1,6,6,22,1,-3.75
25,19,0,25,1,18,1,25,1,-3.666666666666665
26,6,10,24,1,6,9,25,1,-3.625
27,10,3,18,8,1,12,18,8,-3.5904761904761906
28,12,1,6,20,9,4,6,20,-3.5333333333333337
29,18,4,20,3,18,1,23,3,-3.5
30,12,1,2,24,3,4,2,24,-3.4464285714285707
31,0,16,25,0,0,16,24,1,-3.375
32,1,19,5,6,1,19,2,7,-3.333333333333333
33,3,10,20,6,0,13,20,6,-3.333333333333333
34,10,3,2,24,9,4,2,24,-3.291666666666667
35,4,9,18,8,3,10,18,8,-3.2892857142857146
36,12,1,18,8,3,10,18,8,-3.273809523809524
37,10,1,18,8,10,0,19,8,-3.164285714285714
38,1,21,7,2,0,22,7,2,-3.0
39,3,19,7,2,0,22,7,2,-3.0
40,12,1,18,8,12,0,19,8,-2.920238095238095
41,1,15,19,2,1,6,22,2,-2.8571428571428568
42,4,3,6,20,3,4,6,20,-2.833333333333333
43,4,3,6,20,1,4,6,20,-2.75
44,18,15,19,1,18,6,22,1,-2.75
45,1,10,20,6,1,1,23,6,-2.6904761904761902
46,3,10,8,18,0,13,8,18,-2.6666666666666665
47,1,4,20,6,1,1,23,6,-2.6666666666666665
48,18,19,5,3,18,19,2,4,-2.625
49,10,3,6,20,1,12,6,20,-2.607142857142857
50,9,21,7,18,9,21,6,19,-2.6
51,10,0,25,2,1,3,25,2,-2.541666666666667
52,4,3,18,8,4,0,19,8,-2.5416666666666665
53,18,10,24,1,18,9,25,1,-2.5
54,3,4,24,2,3,1,25,2,-2.482142857142857
55,12,1,6,20,12,0,7,20,-2.4738095238095235
56,10,0,25,2,9,1,25,2,-2.458333333333333
57,4,3,2,24,1,4,2,24,-2.458333333333333
58,10,3,6,20,10,0,7,20,-2.4166666666666665
59,9,21,7,6,9,21,6,7,-2.4
60,4,9,18,8,4,0,21,8,-2.354761904761905
61,18,4,19,2,18,1,22,2,-2.25
62,9,22,0,8,9,21,1,8,-2.2333333333333334
63,12,1,2,24,3,10,2,24,-2.2059523809523807
64,1,10,24,2,1,9,25,2,-2.1904761904761907
65,12,1,18,8,3,4,18,8,-2.178571428571429
66,18,4,5,6,18,4,2,7,-2.15
67,9,4,24,2,9,1,25,2,-2.083333333333333
68,3,4,20,6,3,1,23,6,-2.047619047619048
69,10,1,6,20,10,0,7,20,-2.041666666666667
70,10,1,2,24,1,10,2,24,-2.023809523809524
71,12,1,6,20,3,10,6,20,-2.005952380952381
72,1,25,0,7,1,24,1,7,-2.0
73,18,19,5,1,18,19,2,4,-2.0
74,18,24,4,1,18,24,1,4,-2.0
75,4,9,2,24,3,10,2,24,-1.9904761904761905
76,3,10,24,2,3,9,25,2,-1.982142857142857
77,4,3,6,24,1,4,6,24,-1.9285714285714293
78,3,15,19,2,0,16,19,2,-1.9166666666666667
79,12,1,6,20,3,4,6,20,-1.9166666666666663
80,10,3,18,8,10,0,21,8,-1.875
81,6,19,4,2,6,19,1,5,-1.875
82,18,7,21,1,18,6,22,1,-1.875
83,1,22,0,20,1,19,1,20,-1.8333333333333333
84,1,7,21,6,1,7,18,7,-1.8333333333333333
85,10,1,18,20,1,4,18,20,-1.8333333333333333
86,9,19,19,2,0,22,19,2,-1.815476190476191
87,9,19,5,6,0,22,5,6,-1.7999999999999998
88,12,1,2,24,9,4,2,24,-1.7999999999999998
89,18,7,21,1,18,7,18,4,-1.75
90,10,3,18,8,10,0,19,8,-1.75
91,3,21,7,2,0,22,7,2,-1.75
92,18,10,19,2,18,1,22,2,-1.75
93,1,4,24,2,1,3,25,2,-1.75
94,3,19,5,6,0,22,5,6,-1.725
95,1,15,19,2,0,16,19,2,-1.7083333333333333
96,4,0,23,6,4,0,20,7,-1.7083333333333333
97,9,4,24,2,0,13,24,2,-1.6666666666666663
98,1,22,0,8,1,19,1,8,-1.6666666666666663
99,4,9,6,20,3,10,6,20,-1.6547619047619049
100,10,1,18,8,1,10,18,8,-1.6488095238095242
101,0,22,23,0,0,22,20,1,-1.625
102,4,3,18,8,4,0,21,8,-1.5988095238095241
103,4,3,6,20,4,0,7,20,-1.5833333333333333
104,3,10,20,6,3,1,23,6,-1.5666666666666669
105,4,3,18,8,3,4,18,8,-1.5178571428571432
106,7,18,1,7,6,19,1,7,-1.5
107,1,24,19,1,0,25,19,1,-1.5
108,18,19,4,6,18,19,1,7,-1.5
109,3,25,0,7,3,24,1,7,-1.5
110,19,0,22,2,18,1,22,2,-1.5
111,4,0,25,2,3,1,25,2,-1.4583333333333333
112,18,7,4,2,18,7,1,5,-1.4166666666666667
113,6,10,19,2,6,1,22,2,-1.4166666666666663
114,4,0,23,6,3,1,23,6,-1.4083333333333334
115,4,9,18,8,1,10,18,8,-1.3988095238095235
116,4,3,18,20,3,4,18,20,-1.386904761904762
117,1,15,19,6,0,16,19,6,-1.375
118,6,24,4,1,6,24,1,4,-1.375
119,1,10,24,6,1,9,25,6,-1.375
120,10,18,1,20,9,19,1,20,-1.3666666666666665
121,1,21,19,2,0,22,19,2,-1.3333333333333333
122,18,19,4,18,18,19,1,19,-1.3333333333333333
123,1,21,7,6,1,21,6,7,-1.3333333333333333
124,3,24,19,1,0,25,19,1,-1.3333333333333333
125,1,12,8,18,0,13,8,18,-1.3333333333333333
126,19,18,1,19,18,19,1,19,-1.3333333333333333
127,3,7,21,6,3,7,18,7,-1.3333333333333333
128,1,12,20,6,0,13,20,6,-1.3333333333333333
129,3,7,21,6,3,6,22,6,-1.2976190476190477
130,1,12,20,6,1,3,23,6,-1.2666666666666666
131,4,9,18,20,4,0,21,20,-1.2559523809523812
132,9,7,19,2,0,16,19,2,-1.25
133,10,1,6,20,1,10,6,20,-1.2321428571428572
134,19,0,22,2,19,0,19,5,-1.2142857142857144
135,1,7,21,18,1,6,22,18,-1.2083333333333337
136,1,12,24,2,1,9,25,2,-1.2083333333333333
137,9,19,24,1,9,18,25,1,-1.2
138,3,4,20,18,3,1,23,18,-1.1964285714285712
139,1,7,21,6,1,6,22,6,-1.1904761904761905
140,9,4,20,6,9,1,23,6,-1.175
141,1,21,24,1,1,18,25,1,-1.1666666666666663
142,21,6,1,19,18,7,1,19,-1.1666666666666663
143,21,0,25,1,18,1,25,1,-1.1666666666666663
144,19,18,1,7,18,19,1,7,-1.1666666666666663
145,19,1,18,19,19,0,19,19,-1.1666666666666663
146,12,18,1,8,3,21,1,8,-1.1666666666666663
147,1,19,24,1,1,18,25,1,-1.1666666666666663
148,4,9,2,24,1,12,2,24,-1.1666666666666663
149,3,7,24,1,3,6,25,1,-1.1666666666666663
150,1,24,4,2,0,25,4,2,-1.1666666666666663
151,4,9,18,8,1,12,18,8,-1.1583333333333332
152,9,4,24,6,9,3,25,6,-1.15
153,6,19,7,3,6,19,6,4,-1.125
154,19,18,1,5,18,19,1,5,-1.125
155,3,19,5,18,0,22,5,18,-1.125
156,1,21,19,2,1,18,22,2,-1.125
157,9,19,7,18,9,19,6,19,-1.1154761904761905
158,10,3,18,8,9,4,18,8,-1.114285714285714
159,12,0,25,2,3,3,25,2,-1.0833333333333333
160,4,3,2,24,3,4,2,24,-1.0654761904761905
161,9,25,0,19,9,24,1,19,-1.05
162,3,24,4,2,0,25,4,2,-1.0416666666666663
163,1,24,4,2,1,24,1,5,-1.0416666666666663
164,10,0,25,2,1,9,25,2,-1.0416666666666663
165,1,10,20,18,1,1,23,18,-1.023809523809524
166,4,3,18,20,1,4,18,20,-1.023809523809524
167,1,21,5,6,1,21,2,7,-1.0166666666666666
168,3,15,19,2,3,6,22,2,-1.0059523809523812
169,3,19,5,6,3,19,2,7,-1.0
170,6,21,19,1,6,18,22,1,-1.0
171,21,1,2,21,18,4,2,21,-1.0
172,12,1,18,20,3,4,18,20,-1.0
173,18,7,19,3,18,7,18,4,-1.0
174,3,7,11,18,3,7,2,21,-1.0
175,7,18,1,19,6,19,1,19,-1.0
176,1,12,24,6,1,9,25,6,-1.0
177,1,4,20,18,1,1,23,18,-1.0
178,4,3,6,24,4,0,7,24,-1.0
179,3,19,19,2,0,22,19,2,-0.982142857142857
180,10,1,6,20,1,4,6,20,-0.9583333333333331
181,10,18,1,8,9,19,1,8,-0.9583333333333331
182,4,9,2,24,1,10,2,24,-0.9583333333333331
183,1,15,19,6,1,6,22,6,-0.9583333333333331
184,1,22,0,8,1,21,1,8,-0.9583333333333331
185,9,4,24,18,9,3,25,18,-0.95
186,1,19,5,18,1,19,2,19,-0.9166666666666666
187,10,0,23,6,10,0,20,7,-0.8999999999999999
188,3,4,24,6,3,3,25,6,-0.8809523809523809
189,10,1,6,24,1,4,6,24,-0.8809523809523808
190,3,21,7,6,3,21,6,7,-0.8809523809523808
191,10,18,1,20,1,21,1,20,-0.875
192,7,18,18,4,6,19,18,4,-0.875
193,18,4,5,18,18,4,2,19,-0.875
194,24,1,3,7,24,0,4,7,-0.875
195,0,22,23,0,0,22,20,3,-0.875
196,24,1,1,21,24,1,0,22,-0.875
197,10,3,2,24,1,12,2,24,-0.8488095238095237
198,1,15,19,18,1,6,22,18,-0.8333333333333333
199,3,25,0,19,3,24,1,19,-0.8333333333333333
200,1,4,24,6,1,1,25,6,-0.8333333333333333
201,1,19,7,18,1,19,6,19,-0.8333333333333333
202,1,19,19,18,1,19,18,19,-0.8333333333333333
203,19,3,6,7,19,0,7,7,-0.8333333333333333
204,10,0,25,6,9,1,25,6,-0.8226190476190476
205,4,9,6,20,1,12,6,20,-0.8154761904761905
206,4,3,2,24,4,0,5,24,-0.7976190476190476
207,4,9,2,24,4,0,11,24,-0.7916666666666666
208,1,24,4,18,0,25,4,18,-0.7916666666666666
209,3,4,24,2,3,3,25,2,-0.7916666666666666
210,12,0,25,2,9,1,25,2,-0.7916666666666666
211,7,18,1,5,6,19,1,5,-0.7916666666666665
212,7,9,18,7,6,10,18,7,-0.75
213,6,25,0,4,6,24,1,4,-0.75
214,15,18,1,7,6,21,1,7,-0.75
215,24,1,6,4,24,0,7,4,-0.75
216,7,18,1,21,6,19,1,21,-0.75
217,1,10,8,18,1,1,17,18,-0.75
218,1,15,19,6,1,15,18,7,-0.75
219,6,19,19,3,6,19,18,4,-0.75
220,12,1,6,24,3,4,6,24,-0.7380952380952379
221,3,21,7,18,3,21,6,19,-0.7142857142857142
222,18,4,19,18,18,1,22,18,-0.7142857142857141
223,9,22,0,20,9,19,1,20,-0.6916666666666667
224,1,14,0,24,1,11,1,24,-0.6916666666666667
225,9,19,7,18,0,22,7,18,-0.6904761904761905
226,1,4,24,6,1,3,25,6,-0.6904761904761904
227,21,6,1,7,18,7,1,7,-0.6666666666666666
228,3,19,5,18,3,19,2,19,-0.6666666666666666
229,10,18,1,8,1,21,1,8,-0.6666666666666666
230,1,25,0,19,1,24,1,19,-0.6666666666666666
231,1,22,0,24,1,19,1,24,-0.6666666666666666
232,4,6,1,20,1,7,1,20,-0.6666666666666666
233,3,24,4,6,3,24,1,7,-0.6666666666666666
234,4,18,2,7,1,19,2,7,-0.6666666666666666
235,21,3,6,7,21,0,7,7,-0.6666666666666666
236,21,18,1,19,18,19,1,19,-0.6666666666666666
237,4,0,23,18,1,1,23,18,-0.6666666666666666
238,1,19,19,6,1,19,18,7,-0.6666666666666666
239,3,22,0,20,3,19,3,20,-0.6666666666666666
240,19,0,22,6,19,0,19,7,-0.6666666666666666
241,9,4,24,2,9,3,25,2,-0.6666666666666665
242,10,1,18,20,10,0,19,20,-0.6571428571428571
243,9,19,5,6,9,19,2,7,-0.65
244,3,22,0,20,3,21,1,20,-0.6488095238095237
245,21,0,22,2,18,1,22,2,-0.625
246,24,3,1,7,24,0,4,7,-0.625
247,19,0,25,3,18,1,25,3,-0.625
248,15,18,1,19,6,21,1,19,-0.625
249,1,7,15,18,1,7,6,21,-0.625
250,4,9,6,24,1,10,6,24,-0.625
251,3,15,19,6,0,16,19,6,-0.625
252,18,7,21,3,18,6,22,3,-0.625
253,6,19,21,1,6,18,22,1,-0.625
254,3,22,0,20,3,19,1,20,-0.625
255,1,19,5,18,1,19,2,21,-0.625
256,7,18,3,7,6,19,3,7,-0.625
257,24,1,3,19,24,0,4,19,-0.625
258,3,21,19,2,0,22,19,2,-0.6249999999999999
259,10,1,18,20,1,10,18,20,-0.6154761904761904
260,12,18,1,8,9,19,1,8,-0.6071428571428572
261,9,21,19,6,9,21,18,7,-0.6000000000000001
262,9,19,8,1,0,22,8,1,-0.6000000000000001
263,3,10,8,18,3,1,17,18,-0.5892857142857143
264,10,1,6,24,10,0,7,24,-0.5869047619047619
265,3,24,4,6,0,25,4,6,-0.5833333333333333
266,4,0,23,6,1,1,23,6,-0.5833333333333333
267,10,0,25,6,1,9,25,6,-0.5833333333333333
268,4,0,17,18,1,3,17,18,-0.5833333333333333
269,10,0,25,18,10,0,24,19,-0.5833333333333333
270,9,22,0,8,9,19,3,8,-0.575
271,4,0,23,6,1,3,23,6,-0.575
272,21,0,25,1,18,3,25,1,-0.5714285714285714
273,1,23,0,7,1,20,1,7,-0.5666666666666667
274,1,20,4,6,1,20,1,7,-0.5666666666666667
275,1,11,19,6,1,2,22,6,-0.5666666666666667
276,4,3,18,20,4,0,21,20,-0.5654761904761905
277,9,4,20,18,9,1,23,18,-0.55
278,12,0,25,6,12,0,24,7,-0.5488095238095239
279,4,9,2,24,4,0,5,24,-0.5416666666666666
280,4,18,3,8,1,19,3,8,-0.5416666666666666
281,4,0,23,18,1,3,23,18,-0.5416666666666666
282,12,18,6,19,9,19,6,19,-0.5333333333333333
283,12,6,1,20,9,7,1,20,-0.5333333333333333
284,10,3,18,20,10,0,19,20,-0.5333333333333333
285,10,0,25,6,10,0,24,7,-0.5238095238095238
286,12,0,25,2,3,9,25,2,-0.5238095238095238
287,3,19,7,18,3,19,6,19,-0.5238095238095238
288,4,3,6,24,3,4,6,24,-0.5238095238095237
289,3,4,24,18,3,1,25,18,-0.5238095238095237
290,1,7,24,1,1,6,25,1,-0.5
291,1,7,11,18,1,7,2,21,-0.5
292,1,24,4,6,1,24,1,7,-0.5
293,4,18,1,8,1,19,1,8,-0.5
294,1,4,24,18,1,1,25,18,-0.5
295,1,21,7,18,0,22,7,18,-0.5
296,19,1,18,7,19,0,19,7,-0.5
297,7,9,18,19,7,0,21,19,-0.5
298,24,3,18,4,24,0,19,4,-0.5
299,1,15,24,1,0,16,24,1,-0.5
300,19,6,18,4,18,7,18,4,-0.5
301,19,6,1,7,18,7,1,7,-0.5
302,9,19,5,18,0,22,5,18,-0.5
303,3,19,20,3,0,22,20,3,-0.5
304,7,0,25,1,6,1,25,1,-0.5
305,4,0,25,18,4,0,24,19,-0.5
306,7,0,22,18,7,0,19,21,-0.5
307,9,19,20,1,0,22,20,1,-0.5
308,7,0,22,6,7,0,19,7,-0.5
309,9,19,20,3,0,22,20,3,-0.5
310,3,21,24,1,0,22,24,1,-0.5
311,0,25,22,0,0,25,19,1,-0.5
312,1,22,0,20,1,19,3,20,-0.5
313,4,0,25,6,4,0,24,7,-0.5
314,18,22,0,7,18,19,1,7,-0.5
315,1,19,7,6,1,19,6,7,-0.5
316,3,24,7,1,0,25,7,1,-0.5
317,9,25,0,7,9,24,1,7,-0.5
318,6,19,4,6,6,19,3,7,-0.5
319,6,19,4,18,6,19,3,19,-0.5
320,18,7,21,3,18,7,18,4,-0.5
321,4,0,17,18,4,0,8,21,-0.5
322,3,10,24,6,3,9,25,6,-0.4880952380952381
323,21,1,1,8,18,4,1,8,-0.4583333333333333
324,9,19,24,1,0,22,24,1,-0.4523809523809524
325,4,9,6,20,4,0,15,20,-0.4523809523809523
326,10,0,23,18,9,1,23,18,-0.45
327,9,19,5,18,9,19,2,19,-0.45
328,21,3,6,19,21,0,7,19,-0.4285714285714286
329,10,1,6,24,1,10,6,24,-0.425
330,12,0,25,18,12,0,24,19,-0.4214285714285714
331,3,16,0,20,3,15,1,20,-0.4166666666666666
332,4,0,26,1,3,1,26,1,-0.4166666666666666
333,4,18,1,8,3,19,1,8,-0.4166666666666666
334,19,3,1,8,18,4,1,8,-0.4166666666666666
335,7,0,22,2,7,0,19,5,-0.4166666666666666
336,1,14,0,24,1,5,3,24,-0.4166666666666666
337,1,21,5,18,1,21,2,19,-0.4166666666666666
338,10,0,23,6,9,1,23,6,-0.4
339,12,18,6,19,9,21,6,19,-0.4
340,12,18,18,7,9,21,18,7,-0.4
341,18,4,7,18,18,4,6,19,-0.3809523809523809
342,1,4,24,18,1,3,25,18,-0.3809523809523809
343,9,4,24,6,9,1,25,6,-0.3785714285714286
344,12,1,6,24,12,0,7,24,-0.3761904761904762
345,7,18,1,21,7,18,0,22,-0.375
346,4,18,3,8,1,21,3,8,-0.375
347,7,18,3,19,7,18,0,22,-0.375
348,6,10,19,6,6,10,18,7,-0.375
349,7,9,1,24,7,0,10,24,-0.375
350,1,7,24,3,1,6,25,3,-0.375
351,9,19,24,3,9,18,25,3,-0.375
352,9,19,5,18,9,19,2,21,-0.375
353,10,2,18,7,1,11,18,7,-0.375
354,9,24,19,3,9,24,18,4,-0.375
355,6,19,21,1,6,19,18,4,-0.375
356,7,0,22,6,6,1,22,6,-0.375
357,6,7,19,3,6,7,18,4,-0.375
358,7,9,18,7,7,0,21,7,-0.375
359,9,7,19,6,0,16,19,6,-0.375
360,7,18,3,19,6,19,3,19,-0.375
361,18,10,19,6,18,10,18,7,-0.375
362,1,19,21,2,1,19,18,5,-0.375
363,18,7,10,18,18,7,1,21,-0.375
364,19,1,3,20,19,0,4,20,-0.375
365,18,7,7,3,18,7,6,4,-0.375
366,18,7,4,18,18,7,3,19,-0.375
367,1,16,0,24,1,7,9,24,-0.375
368,21,1,2,7,18,4,2,7,-0.375
369,4,6,9,20,1,7,9,20,-0.375
370,3,19,20,1,0,22,20,1,-0.375
371,1,21,5,6,0,22,5,6,-0.375
372,21,6,18,4,18,7,18,4,-0.375
373,15,18,18,4,6,21,18,4,-0.375
374,1,16,0,20,1,7,3,20,-0.375
375,21,1,2,19,18,4,2,19,-0.375
376,12,0,25,18,9,1,25,18,-0.3666666666666667
377,1,22,0,8,1,19,3,8,-0.35714285714285715
378,1,16,0,24,1,15,1,24,-0.35714285714285715
379,10,6,18,7,1,15,18,7,-0.35714285714285715
380,1,21,7,6,0,22,7,6,-0.35714285714285715
381,1,25,0,21,1,24,1,21,-0.35714285714285715
382,9,19,19,6,0,22,19,6,-0.3571428571428571
383,1,22,0,24,1,19,3,24,-0.3571428571428571
384,21,18,1,7,18,21,1,7,-0.3571428571428571
385,4,0,25,6,3,1,25,6,-0.3571428571428571
386,4,9,6,20,1,10,6,20,-0.3392857142857143
387,9,22,0,24,9,19,1,24,-0.3333333333333333
388,4,0,23,18,4,0,20,19,-0.3333333333333333
389,3,4,24,6,3,1,25,6,-0.3333333333333333
390,18,10,19,6,18,1,22,6,-0.3333333333333333
391,6,19,4,18,6,19,1,19,-0.3333333333333333
392,3,22,0,24,3,19,1,24,-0.3333333333333333
393,3,21,19,6,3,21,18,7,-0.3333333333333333
394,19,1,6,19,19,0,7,19,-0.3333333333333333
395,3,21,24,1,3,18,25,1,-0.3333333333333333
396,19,6,1,19,18,7,1,19,-0.3333333333333333
397,3,21,7,18,0,22,7,18,-0.3333333333333333
398,1,24,7,1,0,25,7,1,-0.3333333333333333
399,10,18,6,19,1,21,6,19,-0.3333333333333333
400,19,3,6,19,19,0,7,19,-0.3333333333333333
401,7,1,18,7,7,0,19,7,-0.3333333333333333
402,4,6,18,7,3,7,18,7,-0.3333333333333333
403,19,0,23,1,19,0,20,4,-0.3333333333333333
404,21,18,1,7,18,19,1,7,-0.3333333333333333
405,3,19,7,18,0,22,7,18,-0.3333333333333333
406,3,7,19,6,3,7,18,7,-0.3333333333333333
407,1,7,21,18,1,7,18,19,-0.3333333333333333
408,1,5,21,6,1,5,18,7,-0.325
409,10,3,18,20,10,0,21,20,-0.325
410,9,19,19,6,9,19,18,7,-0.31428571428571433
411,18,4,7,6,18,4,6,7,-0.3095238095238096
412,19,3,2,7,19,0,5,7,-0.29166666666666663
413,1,21,20,3,1,18,23,3,-0.29166666666666663
414,3,24,4,18,0,25,4,18,-0.29166666666666663
415,1,5,24,3,1,2,25,3,-0.29166666666666663
416,1,24,4,6,0,25,4,6,-0.29166666666666663
417,4,18,1,20,1,21,1,20,-0.29166666666666663
418,1,5,15,18,1,5,6,21,-0.29166666666666663
419,10,6,1,24,1,15,1,24,-0.29166666666666663
420,4,18,1,8,1,21,1,8,-0.29166666666666663
421,6,10,19,6,6,1,22,6,-0.29166666666666663
422,1,5,21,18,1,2,22,18,-0.29166666666666663
423,1,21,11,18,1,21,2,21,-0.29166666666666663
424,15,1,1,20,6,10,1,20,-0.29166666666666663
425,10,3,6,24,10,0,7,24,-0.2797619047619048
426,9,19,7,6,9,19,6,7,-0.2738095238095238
427,9,19,7,6,0,22,7,6,-0.2619047619047619
428,19,18,6,4,18,19,6,4,-0.25
429,21,0,16,18,18,1,16,18,-0.25
430,1,21,21,2,1,18,22,2,-0.25
431,1,7,5,18,1,7,2,19,-0.25
432,9,19,21,2,9,19,18,5,-0.25
433,19,9,18,7,18,10,18,7,-0.25
434,21,6,1,21,18,7,1,21,-0.25
435,7,18,9,19,7,18,0,22,-0.25
436,10,6,1,20,9,7,1,20,-0.25
437,24,0,22,3,24,0,19,4,-0.25
438,24,0,22,3,24,0,21,4,-0.25
439,10,3,6,20,9,4,6,20,-0.25
440,19,6,3,7,18,7,3,7,-0.25
441,9,7,21,6,9,6,22,6,-0.25
442,12,6,1,20,3,15,1,20,-0.25
443,1,16,0,20,1,15,1,20,-0.25
444,1,19,21,2,1,18,22,2,-0.25
445,18,4,21,2,18,1,22,2,-0.25
446,18,4,5,18,18,4,2,21,-0.25
447,10,0,23,18,10,0,20,21,-0.25
448,1,5,21,6,1,2,22,6,-0.25
449,15,1,18,19,15,0,19,19,-0.25
450,15,1,18,7,15,0,19,7,-0.25
451,19,3,2,19,18,4,2,19,-0.25
452,19,3,3,8,19,0,4,8,-0.25
453,12,6,1,24,9,7,1,24,-0.25
454,1,21,20,3,0,22,20,3,-0.25
455,9,7,21,18,9,7,18,19,-0.25
456,18,24,4,3,18,24,1,4,-0.25
457,19,6,1,21,18,7,1,21,-0.25
458,9,7,7,18,0,16,7,18,-0.25
459,10,18,3,8,1,21,3,8,-0.25
460,25,0,0,22,24,1,0,22,-0.25
461,7,6,18,4,6,7,18,4,-0.25
462,7,0,22,18,7,0,21,19,-0.25
463,4,6,2,21,1,7,2,21,-0.25
464,4,18,3,20,1,21,3,20,-0.25
465,7,0,22,6,7,0,21,7,-0.25
466,7,1,6,21,7,0,7,21,-0.25
467,4,18,2,21,3,19,2,21,-0.25
468,7,0,16,18,7,0,7,21,-0.25
469,7,0,25,3,6,1,25,3,-0.25
470,1,24,4,18,1,24,3,19,-0.25
471,4,18,2,21,1,21,2,21,-0.25
472,1,24,10,18,1,24,1,21,-0.25
473,1,24,19,3,0,25,19,3,-0.25
474,6,19,10,18,6,19,1,21,-0.25
475,1,21,7,18,1,21,6,19,-0.2380952380952381
476,3,4,24,18,3,3,25,18,-0.2380952380952381
477,1,7,15,18,1,6,16,18,-0.23214285714285715
478,1,22,0,20,1,21,1,20,-0.23214285714285715
479,3,19,5,18,3,19,2,21,-0.2142857142857143
480,1,22,0,24,1,21,1,24,-0.2142857142857143
481,3,19,7,6,3,19,6,7,-0.21428571428571427
482,12,18,1,20,3,21,1,20,-0.21428571428571427
483,10,18,2,7,9,19,2,7,-0.2
484,1,21,8,1,0,22,8,1,-0.2
485,1,5,24,1,1,2,25,1,-0.2
486,1,5,21,18,1,5,18,19,-0.2
487,12,18,1,20,9,21,1,20,-0.2
